min,baseline,max
0.4525607220518806,0.6796614783771269,0.6698220519750807
0.5165870089477956,0.6796614783771269,0.6722780222383836
0.6864491772260735,0.6796614783771269,0.8362270379968618
0.6835456626381015,0.6796614783771269,0.8031591057087665
0.6831447204520577,0.6796614783771269,0.7927858690874481
0.6824756586309993,0.6796614783771269,0.7775353850106838
0.6815815808706432,0.6796614783771269,0.7538924042746901
0.6061757290214542,0.6796614783771269,0.6777817266748424
0.6810211379408565,0.6796614783771269,0.7459160903836258
0.6436045407355456,0.6796614783771269,0.6785733946552555
0.6798459119069462,0.6796614783771269,0.6900733240850325
